sku,nombre,categoria,descripcion,precio,moneda,stock,ubicacion_bodega,peso_kg,dimensiones_cm,material,sostenible,garantia_meses,proveedor,pais_origen,fecha_actualizacion,activo,url_producto
EM-CL-001,Botella de agua reutilizable 750ml,Cocina y Hogar,"Acero inoxidable, libre de BPA, tapa antifugas.",59990,COP,320,BTA-01,0.32,7x7x26,Acero inoxidable,Sí,12,EcoSteel LTDA,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-001
EM-CL-002,Set 4 pitillos de bambú + cepillo,Cocina y Hogar,"Reutilizables, biodegradables, incluye funda de algodón.",24990,COP,540,BTA-01,0.08,1x1x20,Bambú,Sí,6,BambuAndes SAS,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-002
EM-BD-003,Cepillo dental biodegradable (pack x2),Cuidado Personal,"Mango de bambú, cerdas medianas.",19990,COP,780,BTA-02,0.06,2x2x19,Bambú y nylon reciclado,Sí,3,SmileGreen,Perú,2025-10-11,Sí,https://ecomarket.com/p/EM-BD-003
EM-CL-004,Bolsas reutilizables para mercado (set x5),Cocina y Hogar,"Poliéster reciclado, diferentes tamaños.",34990,COP,410,MED-01,0.22,30x25x0.5,Poliéster reciclado (rPET),Sí,6,Textiles Verdes,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-004
EM-EC-005,Lámpara LED solar de exterior,Electrohogar,"Carga solar, sensor de movimiento, IP65.",129990,COP,150,BTA-03,0.45,12x10x6,ABS reciclado,Sí,12,SolarEco,China,2025-10-11,Sí,https://ecomarket.com/p/EM-EC-005
EM-CL-006,Esponjas de cocina compostables (pack x3),Cocina y Hogar,"Celulosa y fibra vegetal, libres de microplásticos.",14990,COP,620,MED-02,0.04,10x7x2,Celulosa y fibra de coco,Sí,3,EcoClean SAS,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-006
EM-TX-007,Toalla de microfibra reciclada,Textiles,"Secado rápido, 80% material reciclado.",69990,COP,200,BTA-02,0.25,140x70x0.3,Microfibra reciclada,Sí,6,EcoTextil,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-TX-007
EM-GR-008,Compostera doméstica 10L,Jardín y Huerto,"Incluye filtro de carbón, ideal para cocina.",159990,COP,95,BTA-03,1.8,25x25x30,PP reciclado,Sí,12,GreenHome,México,2025-10-11,Sí,https://ecomarket.com/p/EM-GR-008
EM-CL-009,Detergente ecológico concentrado 1L,Limpieza,"Biodegradable, fragancia natural.",28990,COP,480,MED-01,1.1,9x9x25,Líquido biodegradable,Sí,6,BioClean,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-009
EM-IL-010,Bombillo LED 9W luz cálida,Electrohogar,"Ahorro energético A+, vida útil 15.000h.",9990,COP,1200,BTA-01,0.06,6x6x10.5,Vidrio y plástico,Sí,12,LumiEco,China,2025-10-11,Sí,https://ecomarket.com/p/EM-IL-010
EM-TX-011,Bolsa térmica reutilizable 20L,Cocina y Hogar,"Interior aislante, hecha con PET reciclado.",84990,COP,180,BTA-02,0.6,35x22x30,PET reciclado,Sí,6,FrioVerde,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-TX-011
EM-CL-012,Papel higiénico reciclado (12 rollos),Higiene,"100% fibra reciclada, libre de cloro.",36990,COP,300,MED-02,1.2,40x20x20,Fibra reciclada,Sí,0,EcoPaper,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-012
EM-CL-013,Jabón corporal sólido de avena 100g,Cuidado Personal,"Vegano, sin parabenos.",15990,COP,650,BTA-03,0.1,8x6x3,Base vegetal,Sí,0,NaturalCare,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-013
EM-HG-014,Kit huerta urbana (semillas + macetas),Jardín y Huerto,Incluye 3 variedades de semillas orgánicas.,99990,COP,140,MED-01,0.9,30x20x12,Plástico reciclado y turba,Sí,3,UrbanGreen,Colombia,2025-10-11,Sí,https://ecomarket.com/p/EM-HG-014
EM-CL-015,Copa menstrual talla M,Cuidado Personal,Silicona médica libre de BPA.,79990,COP,220,BTA-01,0.03,6x6x6,Silicona médica,Sí,12,CarePlus,Brasil,2025-10-11,Sí,https://ecomarket.com/p/EM-CL-015
